,Order ID,Order Date,Customer ID,Product ID,Quantity,Sales,Coffee Type,Roast Type,Unit Weight(kg),Unit Price,Price per 100g,Unit Profit,Address Line 1,City,Country,Postcode,Loyalty Card,Order Profit,Unit Profit Percentage
0,QEV-37451-860,2019-09-05,17670-51384-MA,R-M-1,2.0,19.9,Rob,M,1.0,9.95,0.9949999999999999,0.597,57999 Pepper Wood Alley,Paterson,United States,7505.0,Yes,1.194,0.060000000000000005
1,QEV-37451-860,2019-09-05,17670-51384-MA,E-M-0.5,5.0,41.25,Exc,M,0.5,8.25,1.65,0.9075,57999 Pepper Wood Alley,Paterson,United States,7505.0,Yes,4.5375,0.11
2,SZW-48378-399,2022-07-02,34136-36674-OM,R-M-1,5.0,49.75,Rob,M,1.0,9.95,0.9949999999999999,0.597,80915 Montana Park,Richmond,United States,23285.0,No,2.985,0.060000000000000005
3,OFX-99147-470,2021-11-24,49860-68865-AB,R-M-1,6.0,59.699999999999996,Rob,M,1.0,9.95,0.9949999999999999,0.597,469 Paget Place,Tucson,United States,85715.0,Yes,3.582,0.060000000000000005
4,JHW-74554-805,2019-11-26,14103-58987-ZU,R-M-1,6.0,59.699999999999996,Rob,M,1.0,9.95,0.9949999999999999,0.597,21 Schmedeman Crossing,Liverpool,United Kingdom,L33,Yes,3.582,0.060000000000000005
5,JDS-33440-914,2021-10-28,58511-10548-ZU,R-M-1,3.0,29.849999999999998,Rob,M,1.0,9.95,0.9949999999999999,0.597,59 Rieder Lane,Belfast,United Kingdom,BT2,Yes,1.791,0.060000000000000005
6,QEY-71761-460,2021-11-29,35442-75769-PL,R-M-1,2.0,19.9,Rob,M,1.0,9.95,0.9949999999999999,0.597,74 Logan Avenue,Dunmanway,Ireland,P47,Yes,1.194,0.060000000000000005
7,TNW-41601-420,2020-11-24,66458-91190-YC,R-M-1,5.0,49.75,Rob,M,1.0,9.95,0.9949999999999999,0.597,2 Sycamore Avenue,Virginia,Ireland,D18,Yes,2.985,0.060000000000000005
8,WVT-88135-549,2019-11-16,66458-91190-YC,A-D-1,3.0,29.849999999999998,Ara,D,1.0,9.95,0.9949999999999999,0.8954999999999999,2 Sycamore Avenue,Virginia,Ireland,D18,Yes,2.6864999999999997,0.09
9,ZIL-34948-499,2020-07-14,66458-91190-YC,A-D-0.5,2.0,11.94,Ara,D,0.5,5.97,1.194,0.5373,2 Sycamore Avenue,Virginia,Ireland,D18,Yes,1.0746,0.09000000000000001
10,CPV-90280-133,2019-03-20,66458-91190-YC,R-D-0.2,3.0,8.055,Rob,D,0.2,2.6849999999999996,1.3424999999999998,0.16109999999999997,2 Sycamore Avenue,Virginia,Ireland,D18,Yes,0.4832999999999999,0.06
11,XQJ-86887-506,2021-11-06,66458-91190-YC,E-L-1,4.0,59.4,Exc,L,1.0,14.85,1.4849999999999999,1.6335,2 Sycamore Avenue,Virginia,Ireland,D18,Yes,6.534,0.11
12,JSU-23781-256,2021-09-07,76499-89100-JQ,R-M-1,4.0,39.8,Rob,M,1.0,9.95,0.9949999999999999,0.597,805 Kenwood Plaza,New Orleans,United States,70179.0,No,2.388,0.060000000000000005
13,JSU-23781-256,2021-09-07,76499-89100-JQ,L-D-0.2,1.0,3.885,Lib,D,0.2,3.885,1.9425,0.50505,805 Kenwood Plaza,New Orleans,United States,70179.0,No,0.50505,0.13
14,KAR-24978-271,2019-01-10,23187-65750-HZ,R-M-1,6.0,59.699999999999996,Rob,M,1.0,9.95,0.9949999999999999,0.597,12 Bobwhite Road,Richmond,United States,23242.0,No,3.582,0.060000000000000005
15,FQK-28730-361,2022-04-12,22725-79522-GP,R-M-1,6.0,59.699999999999996,Rob,M,1.0,9.95,0.9949999999999999,0.597,404 Granby Trail,Toledo,United States,43610.0,No,3.582,0.060000000000000005
16,IDJ-55379-750,2019-10-05,24040-20817-QB,R-M-1,4.0,39.8,Rob,M,1.0,9.95,0.9949999999999999,0.597,45127 Melvin Avenue,Fort Lauderdale,United States,33345.0,No,2.388,0.060000000000000005
17,MIU-01481-194,2019-07-21,08439-55669-AI,R-M-1,6.0,59.699999999999996,Rob,M,1.0,9.95,0.9949999999999999,0.597,4 Buena Vista Circle,Garland,United States,75044.0,Yes,3.582,0.060000000000000005
18,MIU-01481-194,2019-07-21,08439-55669-AI,A-L-0.5,2.0,15.54,Ara,L,0.5,7.77,1.5539999999999998,0.6992999999999999,4 Buena Vista Circle,Garland,United States,75044.0,Yes,1.3985999999999998,0.09
19,LOU-41819-242,2022-07-14,88060-50676-MV,R-M-1,2.0,19.9,Rob,M,1.0,9.95,0.9949999999999999,0.597,121 Union Point,Fort Lauderdale,United States,33345.0,Yes,1.194,0.060000000000000005
20,IKQ-39946-768,2021-03-19,72778-50968-UQ,R-M-1,6.0,59.699999999999996,Rob,M,1.0,9.95,0.9949999999999999,0.597,810 Sage Court,Naples,United States,34114.0,No,3.582,0.060000000000000005
21,CIX-22904-641,2019-09-17,78012-56878-UB,R-M-1,1.0,9.95,Rob,M,1.0,9.95,0.9949999999999999,0.597,7552 Dottie Road,Los Angeles,United States,90030.0,Yes,0.597,0.060000000000000005
22,HTY-30660-254,2019-09-16,83844-95908-RX,R-M-1,3.0,29.849999999999998,Rob,M,1.0,9.95,0.9949999999999999,0.597,526 Helena Crossing,Los Angeles,United States,90040.0,Yes,1.791,0.060000000000000005
23,GNL-98714-885,2020-03-07,83731-53280-YC,R-M-1,3.0,29.849999999999998,Rob,M,1.0,9.95,0.9949999999999999,0.597,28 Darwin Terrace,Wirral,United Kingdom,CH48,Yes,1.791,0.060000000000000005
24,HPI-42308-142,2020-04-11,06631-86965-XP,E-M-0.5,2.0,16.5,Exc,M,0.5,8.25,1.65,0.9075,55 Dottie Court,Rochester,United States,14604.0,Yes,1.815,0.11
25,UDG-65353-824,2020-01-07,17514-94165-RJ,E-M-0.5,4.0,33.0,Exc,M,0.5,8.25,1.65,0.9075,94 Pleasure Circle,Oklahoma City,United States,73135.0,No,3.63,0.11
26,HCA-87224-420,2022-08-04,62682-27930-PD,E-M-0.5,5.0,41.25,Exc,M,0.5,8.25,1.65,0.9075,6 Fisk Street,Racine,United States,53405.0,Yes,4.5375,0.11
27,JEG-93140-224,2021-02-07,53751-57560-CN,E-M-0.5,5.0,41.25,Exc,M,0.5,8.25,1.65,0.9075,91 Old Gate Road,Portland,United States,97211.0,Yes,4.5375,0.11
28,LYP-52345-883,2021-03-24,17649-28133-PY,E-M-0.5,1.0,8.25,Exc,M,0.5,8.25,1.65,0.9075,3 Sunfield Terrace,Kinlough,Ireland,F94,Yes,0.9075,0.11
29,QKA-72582-644,2020-12-16,64852-04619-XZ,E-M-0.5,2.0,16.5,Exc,M,0.5,8.25,1.65,0.9075,9366 Bunting Center,Drumcondra,Ireland,D11,No,1.815,0.11
30,YPP-27450-525,2020-12-02,01932-87052-KO,E-M-0.5,3.0,24.75,Exc,M,0.5,8.25,1.65,0.9075,71 Sycamore Crossing,Chico,United States,95973.0,Yes,2.7225,0.11
31,LAW-80062-016,2022-02-03,34546-70516-LR,E-M-0.5,6.0,49.5,Exc,M,0.5,8.25,1.65,0.9075,8244 La Follette Street,Balrothery,Ireland,K32,No,5.445,0.11
32,QDU-45390-361,2021-11-28,03677-09134-BC,E-M-0.5,1.0,8.25,Exc,M,0.5,8.25,1.65,0.9075,320 Rockefeller Alley,Topeka,United States,66622.0,No,0.9075,0.11
33,BPG-68988-842,2019-02-21,53631-24432-SY,E-M-0.5,5.0,41.25,Exc,M,0.5,8.25,1.65,0.9075,07208 Eastlawn Drive,Wootton,United Kingdom,NN4,No,4.5375,0.11
34,XMC-20620-809,2021-05-14,83543-79246-ON,E-M-0.5,2.0,16.5,Exc,M,0.5,8.25,1.65,0.9075,84666 Melvin Street,Winter Haven,United States,33884.0,Yes,1.815,0.11
35,ETD-58130-674,2021-11-05,05325-97750-WP,E-M-0.5,2.0,16.5,Exc,M,0.5,8.25,1.65,0.9075,18 Bluestem Avenue,Upton,United Kingdom,DN21,Yes,1.815,0.11
36,OKA-93124-100,2020-04-23,05325-97750-WP,R-M-0.5,5.0,29.849999999999998,Rob,M,0.5,5.97,1.194,0.35819999999999996,18 Bluestem Avenue,Upton,United Kingdom,DN21,Yes,1.791,0.06
37,UMM-28497-689,2020-11-03,05325-97750-WP,L-L-2.5,3.0,109.365,Lib,L,2.5,36.455,1.4582,4.7391499999999995,18 Bluestem Avenue,Upton,United Kingdom,DN21,Yes,14.21745,0.13
38,VQW-91903-926,2020-03-13,05325-97750-WP,E-D-2.5,1.0,27.945,Exc,D,2.5,27.945,1.1178,3.07395,18 Bluestem Avenue,Upton,United Kingdom,DN21,Yes,3.07395,0.11
39,XKO-54097-932,2022-03-10,32743-78448-KT,E-M-0.5,3.0,24.75,Exc,M,0.5,8.25,1.65,0.9075,3 Novick Alley,Durham,United States,27717.0,Yes,2.7225,0.11
40,VEM-79839-466,2022-03-16,32743-78448-KT,R-L-2.5,5.0,137.42499999999998,Rob,L,2.5,27.484999999999996,1.0994,1.6490999999999998,3 Novick Alley,Durham,United States,27717.0,Yes,8.2455,0.060000000000000005
41,CYZ-37122-164,2019-01-06,21798-04171-XC,E-M-0.5,2.0,16.5,Exc,M,0.5,8.25,1.65,0.9075,341 Oak Point,San Jose,United States,95160.0,No,1.815,0.11
42,SOK-43535-680,2022-04-04,58443-95866-YO,E-M-0.5,3.0,24.75,Exc,M,0.5,8.25,1.65,0.9075,31 Holy Cross Lane,Young America,United States,55564.0,No,2.7225,0.11
43,CZF-40873-691,2019-06-30,64988-20636-XQ,E-M-0.5,2.0,16.5,Exc,M,0.5,8.25,1.65,0.9075,77 Sycamore Pass,Charlton,United Kingdom,OX12,No,1.815,0.11
44,MPQ-23421-608,2021-03-28,08023-52962-ET,E-M-0.5,5.0,41.25,Exc,M,0.5,8.25,1.65,0.9075,6234 Heath Court,Pensacola,United States,32575.0,Yes,4.5375,0.11
45,AVH-56062-335,2021-11-21,18082-74419-QH,E-M-0.5,5.0,41.25,Exc,M,0.5,8.25,1.65,0.9075,94 Del Mar Lane,Salinas,United States,93907.0,No,4.5375,0.11
46,YWM-07310-594,2019-03-02,66028-99867-WJ,E-M-0.5,5.0,41.25,Exc,M,0.5,8.25,1.65,0.9075,30 Dixon Trail,Pompano Beach,United States,33064.0,Yes,4.5375,0.11
47,ZDC-64769-740,2019-09-21,79463-01597-FQ,E-M-0.5,1.0,8.25,Exc,M,0.5,8.25,1.65,0.9075,39 Nelson Pass,Amarillo,United States,79165.0,No,0.9075,0.11
48,FAA-43335-268,2021-06-17,21125-22134-PX,A-L-1,1.0,12.95,Ara,L,1.0,12.95,1.295,1.1655,5214 Bartillon Park,San Antonio,United States,78205.0,Yes,1.1655,0.09
